Nomor	Tanggal	Cabang	Area	Jumlah Teller	Jumlah Transaksi Teller	Rata-Rata Transaksi per Teller	Keterangan Teller	Jumlah CS	Jumlah Transaksi CS	Rata-Rata Transaksi CS	Jenis Transaksi Dominan Teller	Jenis Transaksi Dominan CS	Nasabah Teller terakhir dilayani	Nasabah CS Terakhir dilayani
1	05/07/2021	Asia Afrika Utara	BAA	4	425	106	Medium	4	61	15	setor tarik	ganti kartu atm	16.15	15.20
2	05/07/2021	Asia Afrika Selatan	BAA	3	510	170	Over	3	45	15	Setor tunai, pindah buku dan transfer ke bank lain	ganti kartu atm	16.00	15.15
3	05/07/2021	Soekarno-Hatta	BAA	4	485	121	Medium	4	105	26	setor dan kliring	ganti kartu	16.00	16.00
4	05/07/2021	Binacitra	BAA	2	340	170	Over	3	75	25	setoran, transfer pinbuk	ganti kartu atm	16.00	16.00
5	05/07/2021	Kiara Condong	BAA	2	397	199	Over	3	110	37	setor tunai 	ganti kartu chip dan kartu skiming 	15.05	15.10
6	05/07/2021	Buah Batu	BAA	3	220	73	Under	3	75	25	setor tunai	penggantian kartu debit terblokir 32 upgrade	15.30	15.30
7	05/07/2021	Kopo	BAA	2	490	245	Over	3	81	27	Setoran dan trf pindah buku	Ganti Atm	16.15	15.50
8	05/07/2021	Siliwangi	BAA	2	255	128	Medium	4	65	16	Setoran dan transaksi menggunakan Cek	Penggantian Kartu Debit	15.05	15.10
9	05/07/2021	Burangrang	BAA	3	350	117	Medium	2	62	31	Setoran tunai 	Ganti ATM	15.30	15.30
10	05/07/2021	Mohamad Toha	BAA	2	285	143	Medium	2	60	30	Setoran Tunai	Ganti Kartu ATM	15.12	15.10
11	05/07/2021	Soreang	BAA	3	400	133	Medium	3	101	34	Setor dan tarik	Ganti kartu atm	15.25	15.30
12	05/07/2021	Dayeuhkolot	BAA	3	259	86	Under	2	73	37	Setor Tunai	Ganti Kartu Debit	17.00	17.00
13	05/07/2021	Pasir Kaliki	BAA	2	272	136	Medium	2	50	25	Setoran	Ganti kartu	14.40	14.40
14	05/07/2021	Majalaya	BAA	2	335	168	Optimum	2	54	27	Setor	Ganti kartu	15.10	15.05
15	05/07/2021	Banjaran	BAA	2	235	118	Medium	3	136	45	Setoran 	Ganti atm dan buka blokir	16.06	17.04
16	05/07/2021	Pangalengan	BAA	1	185	185	Over	1	35	35	Setoran tunai	Ganti kartu	16.00	15.00
17	05/07/2021	Cijerah	BAA	1	165	165	Optimum	1	36	36	setoran tunai dan pembayaran	pergantian kartu atm, buka rekening	15.10	15.30
18	06/07/2021	Asia Afrika Utara	BAA	4	470	118	Medium	4	55	14	setoran	ganti kartu	15.40	15.25
19	06/07/2021	Asia Afrika Selatan	BAA	3	673	224	Over	3	48	16	Pindah buku , transfer ke bank lain	Ganti kartu dan daftar 	16.25	15.10
20	06/07/2021	Soekarno-Hatta	BAA	3	420	140	Medium	4	100	25	Setoran	ganti atm upgrade	16.00	16.00
21	06/07/2021	Binacitra	BAA	3	410	137	Medium	3	50	17	setoran	ganti kartu	15.30	15.30
22	06/07/2021	Kiara Condong	BAA	3	256	85	Under	3	104	35	setoran dan penarikan	ganti kartu dan daftar 	14.57	14.55
23	06/07/2021	Buah Batu	BAA	4	310	78	Under	3	71	24	Setor tunai	Ganti kartu	16.15	16.30
24	06/07/2021	Kopo	BAA	2	280	140	Medium	3	81	27	Setor tunai, trf pinbuk,tarik tunai	Ganti atm,cetak rk,buka rek	15.45	15.30
25	06/07/2021	Siliwangi	BAA	2	202	101	Medium	4	56	14	Setoran dan SKN	Penggantian Kartu	15.22	15.20
26	06/07/2021	Burangrang	BAA	2	190	95	Under	2	32	16	Setoran 	Penggantian ATM	15.00	15.00
27	06/07/2021	Mohamad Toha	BAA	2	290	145	Medium	2	51	26	Setoran Tunai	Ganti kartu dan aktivasi  by 	15.07	14.55
28	06/07/2021	Soreang	BAA	3	302	101	Medium	3	142	47	Setor dan tarik	Ganti kartu dan buka rekening	15.04	15.30
29	06/07/2021	Dayeuhkolot	BAA	2	186	93	Under	2	83	42	setor tunai	penggantian kartu	15.00	16.00
30	06/07/2021	Pasir Kaliki	BAA	2	149	75	Under	2	26	13	Setoran	Buka kartu	14.40	14.40
31	06/07/2021	Majalaya	BAA	3	675	225	Over	2	61	31	Setor dan payroll	Ganti kartu	15.45	15.30
32	06/07/2021	Banjaran	BAA	2	215	108	Medium	3	95	32	Setoran 	Ganti atm	16.00	16.00
33	06/07/2021	Pangalengan	BAA	1	119	119	Medium	1	40	40	Setoran tunai	Ganti kartu debit	15.00	15.15
34	06/07/2021	Cijerah	BAA	2	180	90	Under	1	40	40	setor tunai dan pembayaran	ganti kartu, aktivasi mandol krn ganti nomor	16.00	15.54
35	07/07/2021	Asia Afrika Utara	BAA	4	362	91	Under	3	32	11	Setor tarik	Ganti kartu	15.20	14.55
36	07/07/2021	Asia Afrika Selatan	BAA	3	326	109	Medium	4	25	6	Setor tunai, pinbuk	Ganti kartu	15.15	15.20
37	07/07/2021	Soekarno-Hatta	BAA	4	343	86	Under	4	90	23	setoran tunai	ganti atm upgrade	15.00	15.00
38	07/07/2021	Binacitra	BAA	3	304	101	Medium	3	35	12	Setoran	Ganti kartu	15.00	15.15
39	07/07/2021	Kiara Condong	BAA	3	244	81	Under	3	82	27	Setoran	ganti kartu atm dan daftar  	15.05	14.55
40	07/07/2021	Buah Batu	BAA	3	271	90	Under	3	59	20	setor dan penarikan	ganti kartu debit	15.00	15.00
41	07/07/2021	Kopo	BAA	2	290	145	Medium	3	71	24	Setor tunai, trf pinbuk, multi payment	Ganti Atm, Buka Rek Tab, MTR, Cetak Rk	15.20	15.30
42	07/07/2021	Siliwangi	BAA	2	217	109	Medium	4	48	12	Setoran dan penarikan	Penggantian Kartu Debit	15.05	15.03
43	07/07/2021	Burangrang	BAA	2	202	101	Medium	1	26	26	Setoran dan tarik tunai	Penggantian kartu ATM	15.00	15.00
44	07/07/2021	Mohamad Toha	BAA	2	253	127	Medium	2	50	25	Setoran Tunai	Ganti Kartu ATM & Aktivasi  by 	15.10	15.03
45	07/07/2021	Soreang	BAA	3	280	93	Under	3	163	54	Setor tunai	Pergantian kartu dan buka rekening	14.45	15.06
46	07/07/2021	Dayeuhkolot	BAA	2	220	110	Medium	2	80	40	setor tunai	penggantian kartu	15.30	16.30
47	07/07/2021	Pasir Kaliki	BAA	2	161	81	Under	2	15	8	Setoran	Buka kartu	14.40	14.40
48	07/07/2021	Majalaya	BAA	2	256	128	Medium	2	54	27	Setor	Ganti kartu	15.20	15.15
49	07/07/2021	Banjaran	BAA	2	210	105	Medium	2	120	60	Setoran tunai	Ganti kartu	15.03	15.30
50	07/07/2021	Pangalengan	BAA	1	146	146	Medium	1	35	35	Setoran tunai	Ganti kartu	15.00	15.30
51	07/07/2021	Cijerah	BAA	1	181	181	Over	1	36	36	Setor tunai	Ganti kartu,buka tabungan	15.25	15.15
52	08/07/2021	Asia Afrika Utara	BAA	3	465	155	Optimum	4	33	8	setoran	ganti kartu	15.40	15.20
53	08/07/2021	Asia Afrika Selatan	BAA	3	411	137	Medium	4	25	6	Skn	Buka blokir atm	15.30	15.00
54	08/07/2021	Soekarno-Hatta	BAA	4	396	99	Under	4	85	21	Setor dan transfer	Ganti kartu atm	15.30	15.30
55	08/07/2021	Binacitra	BAA	3	415	138	Medium	3	25	8	setoran	ganti kartu	15.00	15.00
56	08/07/2021	Kiara Condong	BAA	2	332	166	Optimum	3	110	37	setor tunai	ganti kartu dan daftar 	15.05	15.07
57	08/07/2021	Buah Batu	BAA	4	355	89	Under	3	53	18	Setoran dan payroll	Ganti kartu	16.00	16.00
58	08/07/2021	Kopo	BAA	2	320	160	Optimum	3	86	29	Setor tunai, trf antar bank, tarik tunai, multi payment	Ganti ATM, buka rekening, Cetak RK	15.30	16.30
59	08/07/2021	Siliwangi	BAA	2	237	119	Medium	4	45	11	Setoran tunai dan tarik tunai	Penggantian Kartu Debit	14.53	14.50
60	08/07/2021	Burangrang	BAA	2	220	110	Medium	2	35	18	Setoran dan pembayaran multipayment	Penggantian ATM	15.30	15.30
61	08/07/2021	Mohamad Toha	BAA	2	250	125	Medium	2	49	25	Setoran Tunai	Ganti kartu atm & aktifasi  by 	16.02	14.55
62	08/07/2021	Soreang	BAA	2	321	161	Optimum	3	109	36	Setoran tunai	Pergantian kartu dan buka rekening	15.42	15.00
63	08/07/2021	Dayeuhkolot	BAA	3	283	94	Under	3	79	26	setor tunai	ganti kartu	15.00	16.00
64	08/07/2021	Pasir Kaliki	BAA	2	173	87	Under	2	23	12	Setoran	Buka kartu	14.40	14.40
65	08/07/2021	Majalaya	BAA	2	250	125	Medium	2	50	25	Setoran	Ganti kartu, Buka rekening	15.00	16.30
66	08/07/2021	Banjaran	BAA	2	200	100	Medium	3	99	33	Setoran	Buka rekening	16.09	16.09
67	08/07/2021	Pangalengan	BAA	1	140	140	Medium	1	35	35	Setoran tunai	Buka blokiran	15.10	15.30
68	08/07/2021	Cijerah	BAA	1	167	167	Optimum	1	36	36	setoran, pembayaran	gabti kartu, aktivasi mbanking, buka blokir salah pin	15.05	15.00
69	09/07/2021	Asia Afrika Utara	BAA	4	732	183	Over	3	42	14	setor	ganti kartu 	15.50	15.15
70	09/07/2021	Asia Afrika Selatan	BAA	3	532	177	Over	4	35	9	Setor dan pindah buku	Ganti kartu	15.04	14.30
71	09/07/2021	Soekarno-Hatta	BAA	3	725	242	Over	4	112	28	Tarik setor 	Penggantian kartu	15.30	15.30
72	09/07/2021	Binacitra	BAA	3	360	120	Medium	3	48	16	setoran	ganti kartu	15.15	15.30
73	09/07/2021	Kiara Condong	BAA	2	324	162	Optimum	3	62	21	setor tunai	ganti kartu dan daftar 	14.55	14.45
74	09/07/2021	Buah Batu	BAA	4	297	74	Under	4	42	11	Setor tunai	Ganti kartu	17.20	17.20
75	09/07/2021	Kopo	BAA	2	350	175	Over	3	80	27	Setor tunai, tarik tunai, pajak, trf pinbuk	Ganti Atm, buka rek tab, cetak Rk	15.15	15.25
76	09/07/2021	Siliwangi	BAA	2	241	121	Medium	4	50	13	Setor dan SKN	Penggantian Kartu Debit	14.58	14.55
77	09/07/2021	Burangrang	BAA	2	226	113	Medium	2	35	18	Setoran dan tarik tunai 	Penggantian ATM	15.30	15.30
78	09/07/2021	Mohamad Toha	BAA	2	264	132	Medium	2	40	20	Setoran Tunai	Ganti Kartu ATM	15.16	15.10
79	09/07/2021	Soreang	BAA	3	420	140	Medium	3	114	38	Setoran	Ganti kartu	15.30	15.00
80	09/07/2021	Dayeuhkolot	BAA	3	350	117	Medium	3	72	24	setor tunai	penggantian kartu	15.00	16.00
81	09/07/2021	Pasir Kaliki	BAA	2	181	91	Under	2	15	8	Setoran	Buka blokir	14.40	14.40
82	09/07/2021	Majalaya	BAA	2	325	163	Optimum	2	62	31	Setoran	Pembukaan rekening, Ganti kartu	15.30	15.15
83	09/07/2021	Banjaran	BAA	3	265	88	Under	3	126	42	Setoran	Buka rekening	17.00	17.00
84	09/07/2021	Pangalengan	BAA	1	147	147	Medium	1	40	40	Setoran tunai	Ganti kartu	15.30	16.00
85	09/07/2021	Cijerah	BAA	1	182	182	Over	1	33	33	setoran, pembayaran, pembuatan pin	ganti kartu, buka rekening, aktivasi 	15.45	15.45
86	12/07/2021	Asia Afrika Utara	BAA	5	374	75	Under	3	42	14	setor tarik	ganti kartu	15.15	15.40
87	12/07/2021	Asia Afrika Selatan	BAA	3	431	144	Medium	4	55	14	Skn , setor, tarik	Ganti kartu	15.15	15.00
88	12/07/2021	Soekarno-Hatta	BAA	6	135	23	Under	4	73	18	Setor	Ganti kartu	16.00	16.00
89	12/07/2021	Binacitra	BAA	3	250	83	Under	3	49	16	setoran	ganti kartu	15.00	16.15
90	12/07/2021	Metro	BAA	3	275	92	Under	1	175	175	Setoran Perusahaan	Ganti ATM dan daftar 	15.20	16.00
91	12/07/2021	Kiara Condong	BAA	2	247	124	Medium	3	85	28	setor tunai	ganti kartu dan daftar 	15.05	14.55
92	12/07/2021	Kopo	BAA	2	260	130	Medium	3	86	29	Setor dan tarik tunai, trf antar bank	Ganti kartu atm, buka mtr, cetak rk	15.45	15.50
93	12/07/2021	Siliwangi	BAA	2	266	133	Medium	4	51	13	Setor tunai dan pencairan cek	Penggantian kartu debit	14.55	14.58
94	12/07/2021	Sumbersari	BAA	3	350	117	Medium	3	81	27	Setor tunai	Ganti kartu atm	15.45	15.40
95	12/07/2021	Burangrang	BAA	3	242	81	Under	2	61	31	Setoran tunai 	Ganti kartu ATM	15.00	15.00
96	12/07/2021	Mohamad Toha	BAA	2	203	102	Medium	2	41	21	Setoran Tunai	Ganti Kartu ATM	15.31	15.18
97	12/07/2021	Soreang	BAA	4	329	82	Under	3	147	49	Setor tunai	Ganti kartu	15.15	14.45
98	12/07/2021	Dayeuhkolot	BAA	2	287	144	Medium	3	75	25	setor tunai 	penggantian kartu	15.00	16.00
99	12/07/2021	Pasir Kaliki	BAA	2	152	76	Under	1	27	27	Setor tunai	Ganti kartu atm	15.01	14.30
100	12/07/2021	Majalaya	BAA	2	324	162	Optimum	2	52	26	Setor	Buka rekening	15.45	15.30
101	12/07/2021	Banjaran	BAA	3	259	86	Under	3	97	32	Setoran	Ganti atm	16.00	16.00
102	12/07/2021	Pangalengan	BAA	1	204	204	Over	1	42	42	Setoran tunai	Penggantian kartu	16.00	15.30
103	13/07/2021	Asia Afrika Utara	BAA	5	412	82	Under	3	36	12	Setor	Ganti kartu	15.14	15.46
104	13/07/2021	Asia Afrika Selatan	BAA	3	446	149	Medium	4	25	6	Setor tunai	Buka rekening	15.00	15.00
105	13/07/2021	Soekarno-Hatta	BAA	4	135	34	Under	4	61	15	Setor	Ganti kartu	16.30	16.30
106	13/07/2021	Binacitra	BAA	3	256	85	Under	3	35	12	setoran	Pergantian kartu	15.00	15.00
107	13/07/2021	Metro	BAA	3	366	122	Medium	3	162	54	Setoran Perusahaan	Buka blokir atm, reset pin dan ganti kartu	15.00	16.00
108	13/07/2021	Kiara Condong	BAA	2	309	155	Optimum	3	99	33	setor tunai	ganti kartu dan daftar 	15.15	14.45
109	13/07/2021	Kopo	BAA	2	255	128	Medium	3	85	28	Multi payment,setor dan tarik tunai	Transaksi ganti atm, buka rek	15.20	15.35
110	13/07/2021	Siliwangi	BAA	2	157	79	Under	4	47	12	Setoran dan Penarikan	Pergnatian Kartu Debit	14.45	14.52
111	13/07/2021	Sumbersari	BAA	3	327	109	Medium	3	62	21	Setoran tunai	Pergantian kartu atm	15.00	15.10
112	13/07/2021	Burangrang	BAA	2	151	76	Under	1	36	36	Pembayaran dan setoran	Ganti kartu ATM	15.00	15.00
113	13/07/2021	Mohamad Toha	BAA	2	182	91	Under	2	31	16	Setoran Tunai	Ganti Kartu ATM	15.00	14.50
114	13/07/2021	Soreang	BAA	2	305	153	Optimum	2	112	56	Setoran	Ganti kartu	15.01	14.56
115	13/07/2021	Dayeuhkolot	BAA	2	228	114	Medium	2	75	38	setor tunai 	penggantian kartu	15.30	15.00
116	13/07/2021	Pasir Kaliki	BAA	2	142	71	Under	1	21	21	Setor tunai	Ganti atm	14.50	14.30
117	13/07/2021	Majalaya	BAA	3	325	108	Medium	3	51	17	Setor	Buka rekening	15.45	16.00
118	13/07/2021	Banjaran	BAA	2	250	125	Medium	2	100	50	Setoran	Ganti atm	16.30	16.30
119	13/07/2021	Pangalengan	BAA	1	135	135	Medium	1	40	40	Setoran tunai	Penggantian kartu	15.00	14.30
120	14/07/2021	Asia Afrika Utara	BAA	5	376	75	Under	2	28	14	setor	ganti kartu	15.15	15.40
121	14/07/2021	Asia Afrika Selatan	BAA	3	230	77	Under	3	25	8	Setor tunai	Ganti kartu	15.00	15.00
122	14/07/2021	Soekarno-Hatta	BAA	5	90	18	Under	4	64	16	Setor tunai	Ganti kartu	15.00	15.00
123	14/07/2021	Binacitra	BAA	2	210	105	Medium	2	22	11	Setor tunai	Penggantian kartu	15.10	15.00
124	14/07/2021	Metro	BAA	3	280	93	Under	2	105	53	Setor	Ganti ATM 	15.00	15.30
